id,familia,ticker,latencia_s,coste_usd,llamadas,cita,cifra,trayectoria,recall,error
g-n01,numerica,NVDA,5.1733926000015344,0.00297075,1,,True,True,,
g-n02,numerica,AAPL,8.347154899995076,0.00504,2,,True,True,,
g-n03,numerica,MSFT,4.045949099992868,0.0024555,1,,True,True,,
g-n04,numerica,GOOGL,7.487073900003452,0.0046455,2,,True,True,,
g-n05,numerica,AMZN,6.283267099992372,0.00454575,2,,True,True,,
g-n06,numerica,META,7.83288200001698,0.004539,2,,True,True,,
g-n07,numerica,NVDA,7.510328700009268,0.00466275,2,,True,True,,
g-e01,extractiva,AAPL,16.549016199976904,0.01815225,3,True,,False,True,
g-e02,extractiva,GOOGL,13.128024700010428,0.0122385,3,True,,False,False,
g-e03,extractiva,META,26.961773899995023,0.02694825,5,True,,False,False,
g-e04,extractiva,AMZN,5.117283600004157,0.00470925,1,True,,False,False,
g-e05,extractiva,NVDA,28.08759949999512,0.02529375,4,True,,False,False,
g-e06,extractiva,MSFT,10.89552290001302,0.01062525,3,True,,False,True,
g-e07,extractiva,AAPL,15.641467500012368,0.01834125,4,True,,False,False,
g-c01,comparativa,MSFT,56.685978599998634,0.03750975,8,True,False,False,False,
g-c02,comparativa,NVDA,21.889647000003606,0.02738625,6,True,False,False,False,
g-c03,comparativa,AAPL,10.907425599987619,0.004185,4,,,,,AttributeError: 'NoneType' object has no attribute 'chunk_id'
g-c04,comparativa,AMZN,12.52998750002007,0.00972225,4,True,False,False,False,
g-c05,comparativa,META,12.095926600013627,0.01378125,5,True,False,False,False,
g-c06,comparativa,GOOGL,54.06923319998896,0.08957775,12,True,False,False,False,
