id,familia,ticker,latencia_s,coste_usd,llamadas,cita,cifra,trayectoria,recall
g-n01,numerica,NVDA,4.848491099983221,0.0030615,1,,True,True,
g-n02,numerica,AAPL,8.740566799999215,0.004944,2,,True,True,
g-n03,numerica,MSFT,5.376413999998476,0.0033975,1,,True,True,
g-n04,numerica,GOOGL,8.638974200002849,0.00498075,2,,True,True,
g-n05,numerica,AMZN,7.301312199997483,0.00426675,2,,True,True,
g-n06,numerica,META,7.888981000025524,0.00371625,1,,True,True,
g-n07,numerica,NVDA,4.531510700006038,0.00277125,1,,True,True,
g-e01,extractiva,AAPL,20.894226300006267,0.0071175,1,True,,True,True
g-e02,extractiva,GOOGL,23.817159800004447,0.0141585,3,True,,True,True
g-e03,extractiva,META,10.993688699993072,0.004032,1,True,,True,True
g-e04,extractiva,AMZN,25.32428970001638,0.00551025,1,True,,True,True
g-e05,extractiva,NVDA,40.529170499998145,0.01475625,3,True,,True,False
g-e06,extractiva,MSFT,27.87738290001289,0.01770675,2,True,,True,True
g-e07,extractiva,AAPL,15.324255099985749,0.00647625,2,True,,True,True
g-c01,comparativa,MSFT,26.828660600003786,0.020976,6,True,True,True,True
g-c02,comparativa,NVDA,31.24878099997295,0.02041125,4,True,True,True,False
g-c03,comparativa,AAPL,33.190420099999756,0.024879,4,True,True,True,True
g-c04,comparativa,AMZN,26.648580199980643,0.01989825,4,True,True,True,False
g-c05,comparativa,META,19.319721499981824,0.0154575,4,True,True,True,True
g-c06,comparativa,GOOGL,51.20583399999305,0.03811125,6,True,True,True,False
